date,open,low,high,close,volume,change
22/07/2021,1293.67,1270.7,1294.16,1266.54,493258000,+22.88 (+1.80%)
21/07/2021,1270.79,1277.27,1284.33,1266.71,395114300,-2.50 (-0.20%)
20/07/2021,1273.29,1245.96,1273.29,1225.52,538794200,+29.78 (+2.39%)
19/07/2021,1243.51,1269.06,1276.55,1237.79,675617000,-55.80 (-4.29%)
16/07/2021,1299.31,1298.38,1304.37,1296.06,415120500,+5.39 (+0.42%)
15/07/2021,1293.92,1270.77,1299.18,1270.77,419138600,+14.01 (+1.09%)
14/07/2021,1279.91,1297.41,1305.37,1264.68,547973900,-17.63 (-1.36%)
13/07/2021,1297.54,1305.36,1307.73,1278.3,500178900,+1.24 (+0.10%)
12/07/2021,1296.3,1338.11,1340.65,1270.06,912737200,-50.84 (-3.77%)
09/07/2021,1347.14,1365.28,1373.51,1335.9,713991100,-27.54 (-2.00%)
08/07/2021,1374.68,1381.11,1385.75,1363.92,528832600,-13.87 (-1.00%)
07/07/2021,1388.55,1361.76,1388.55,1334.58,733801300,+33.76 (+2.49%)
06/07/2021,1354.79,1411.13,1418.99,1354.79,773512600,-56.34 (-3.99%)
05/07/2021,1411.13,1420.27,1421.52,1394.12,774451500,-9.14 (-0.64%)
02/07/2021,1420.27,1422.89,1424.28,1415.82,653610300,+3.19 (+0.23%)
01/07/2021,1417.08,1412.15,1417.27,1402.18,699282500,+8.53 (+0.61%)
30/06/2021,1408.55,1410.83,1419.61,1408.18,532318900,-1.49 (-0.11%)
29/06/2021,1410.04,1408.34,1416.34,1406.87,609604200,+4.23 (+0.30%)
28/06/2021,1405.81,1397.96,1406.02,1390.56,654617700,+15.69 (+1.13%)
25/06/2021,1390.12,1382.11,1390.12,1372.8,518602200,+10.40 (+0.75%)
24/06/2021,1379.72,1380.07,1384.71,1372.99,538103500,+2.85 (+0.21%)
23/06/2021,1376.87,1383.15,1388.33,1372.06,644736300,-3.10 (-0.22%)
22/06/2021,1379.97,1380.84,1385.98,1375,694747200,+7.34 (+0.53%)
21/06/2021,1372.63,1373.59,1381.74,1367.85,731280000,-5.14 (-0.37%)
18/06/2021,1377.77,1366.19,1377.77,1363.52,750587000,+17.85 (+1.31%)
17/06/2021,1359.92,1341.06,1364.55,1337.49,712336800,+3.40 (+0.25%)
16/06/2021,1356.52,1363.85,1370.14,1350.73,740320300,-10.84 (-0.79%)
15/06/2021,1367.36,1361.58,1372.72,1356.59,706567000,+5.64 (+0.41%)
14/06/2021,1361.72,1352.73,1368.53,1352.73,715610800,+9.98 (+0.74%)
11/06/2021,1351.74,1326.79,1352.47,1322.08,705032900,+28.16 (+2.13%)
10/06/2021,1323.58,1331.26,1336.71,1317.49,674214800,-9.32 (-0.70%)
09/06/2021,1332.9,1323.52,1339.14,1312.08,769829300,+13.02 (+0.99%)
08/06/2021,1319.88,1355.36,1364.48,1318.11,874573200,-38.90 (-2.86%)
07/06/2021,1358.78,1374.59,1375.74,1347.21,840122900,-15.27 (-1.11%)
04/06/2021,1374.05,1367.06,1374.05,1360.42,887731100,+9.77 (+0.72%)
03/06/2021,1364.28,1345.21,1366,1345.21,856882400,+23.50 (+1.75%)
02/06/2021,1340.78,1330.99,1344.98,1330.82,755624100,+3.00 (+0.22%)
01/06/2021,1337.78,1329.47,1346.34,1328.84,600477200,+9.73 (+0.73%)
31/05/2021,1328.05,1326.65,1328.05,1307.56,700319900,+7.59 (+0.57%)
28/05/2021,1320.46,1307.79,1323.09,1300.06,722285600,+16.89 (+1.30%)
27/05/2021,1303.57,1318.42,1319.67,1299.99,685085600,-13.13 (-1.00%)
26/05/2021,1316.7,1308.04,1317.3,1304.68,676236800,+8.12 (+0.62%)
25/05/2021,1308.58,1299.19,1308.58,1297.23,639370500,+10.60 (+0.82%)
24/05/2021,1297.98,1287.5,1299.83,1287.36,670713100,+14.05 (+1.09%)
21/05/2021,1283.93,1272.84,1289.03,1268.46,654126800,+5.71 (+0.45%)
20/05/2021,1278.22,1264.62,1278.22,1255.78,706187900,+15.73 (+1.25%)
19/05/2021,1262.49,1254.78,1262.71,1250.58,650916500,+9.81 (+0.78%)
